alpha	beta
1.984375	0.0
1.9745680775808458	0.005
1.9658058090965347	0.01
1.9561412792487687	0.015
1.9465475643382355	0.02
1.93798828125	0.025
1.9285307949029127	0.03
1.9201011473429952	0.035
1.9117337740384615	0.04
1.9034277811004787	0.045
1.8951822916666665	0.05
1.8869964454976302	0.055
1.8788693985849054	0.06
1.8717470840669015	0.065
1.8637330242406542	0.07
1.855775345203488	0.075
1.8488136574074072	0.08
1.8419026317684328	0.085
1.8341053254013762	0.09
1.8272955907534247	0.095
1.8205344460227275	0.1
1.8138212316176472	0.105
1.807155299831081	0.11
1.8005360145739908	0.115
1.7939627511160714	0.12
1.7874348958333333	0.125
1.7818722345132743	0.13
1.7754314943557268	0.135
1.7690344024122808	0.14
1.7635951146288211	0.145
1.7572817595108696	0.15
1.7519214184253247	0.155
1.745689655172414	0.16
1.7404062164699572	0.165
1.7351595886752138	0.17
1.7290454621010636	0.17500000000000002
1.7238728151483051	0.18
1.7187355781909281	0.185
1.7136333048844539	0.19
1.7085655563546025	0.195
1.7035319010416667	0.2
1.6985319145487552	0.20500000000000002
1.6935651794938016	0.21
1.688631285365226	0.215
1.6837298283811475	0.22
1.6788604113520407	0.225
1.6740226435467478	0.23
1.6700997912449393	0.23500000000000001
1.6653225806451615	0.24
1.6605758973393572	0.245
1.65673828125	0.25
1.6520500031125502	0.255
1.647391183035714	0.26
1.6436357460474307	0.265
1.639033280019685	0.27
1.6353304993872553	0.275
1.6307830810546875	0.28
1.627131718142023	0.28500000000000003
1.623504875242248	0.29
1.6190369359314671	0.295
1.6154597355769231	0.3
1.6110437619731799	0.305
1.6075150584446565	0.31
1.6040094759980987	0.315
1.6005267518939394	0.32
1.5970666273584908	0.325
1.5927734375	0.33
1.5893591262874531	0.335
1.5859666511194028	0.34
1.5825957684711898	0.34500000000000003
1.579246238425926	0.35000000000000003
1.5759178246079335	0.355
1.5726102941176472	0.36
1.5693234174679485	0.365
1.5660569685218977	0.37
1.5628107244318181	0.375
1.5595844655797102	0.38
1.556377975518953	0.385
1.5531910409172665	0.39
1.5500234515008962	0.395
1.546875	0.4
1.5437454820951957	0.405
1.5406346963652482	0.41000000000000003
1.5375424442358658	0.41500000000000004
1.5353006712147887	0.42
1.5322436951754383	0.425
1.5292046820367133	0.43
1.526183444033101	0.435
1.524007161458333	0.44
1.5210197475129759	0.445
1.5180495689655173	0.45
1.5150964481314433	0.455
1.512982930222603	0.46
1.5100622600255975	0.465
1.5071581366921767	0.47000000000000003
1.5050897113347455	0.47500000000000003
1.502217060810811	0.48
1.4993604666456233	0.485
1.497335753984899	0.49
1.4945096937709028	0.495
1.4925130208333333	0.5
1.4897168942068104	0.505
1.4869360513245033	0.51
1.484980919966997	0.515
1.4822291324013157	0.52
1.4803006531762295	0.525
1.4775773590686274	0.53
1.4756750050895766	0.535
1.4729796570616882	0.54
1.4711029151496764	0.545
1.4684349798387095	0.55
1.4665833500803858	0.555
1.463942307692308	0.56
1.4621153030151754	0.5650000000000001
1.4602999353105093	0.5700000000000001
1.4576977926587302	0.5750000000000001
1.455906348892405	0.58
1.4533298624802842	0.585
1.4515618858097485	0.59
1.4498049936324453	0.595
1.447265625	0.6
1.445531542056075	0.605
1.4430166682841616	0.61
1.4413049656540249	0.615
1.4396038290895063	0.62
1.4371243990384617	0.625
1.4354450249233128	0.63
1.43377592220948	0.635
1.4313309832317074	0.64
1.4296830475873858	0.645
1.4280450994318181	0.65
1.4264170482439578	0.655
1.4240163780120483	0.66
1.4224087368618619	0.665
1.4208107223053896	0.67
1.4192222481343282	0.675
1.4168643043154765	0.68
1.415295518824184	0.685
1.4137360160872778	0.6900000000000001
1.4121857139564893	0.6950000000000001
1.409869025735294	0.7000000000000001
1.4083377245234603	0.705
1.4068153782894737	0.71
1.4053019087099123	0.715
1.4030250726744187	0.72
1.4015299479166667	0.725
1.400043465498555	0.73
1.3985655507024495	0.735
1.3970961296695403	0.74
1.395635129387536	0.745
1.3934151785714284	0.75
1.391971599002849	0.755
1.3905362215909094	0.76
1.389108976628895	0.765
1.3876897951977403	0.77
1.38627860915493	0.775
1.3841127545646068	0.78
1.382718126313025	0.785
1.3813312892807263	0.79
1.379952178360028	0.795
1.3785807291666665	0.8
1.3772168780297782	0.805
1.375860561982044	0.81
1.37451171875	0.8150000000000001
1.3731702867445055	0.8200000000000001
1.3710803724315068	0.8250000000000001
1.3697543118169397	0.8300000000000001
1.3684354776907357	0.835
1.3671238111413042	0.84
1.365819253895664	0.845
1.3645217483108107	0.85
1.363231237365229	0.855
1.3619476646505375	0.86
1.3606709743632703	0.865
1.3594011112967914	0.87
1.3581380208333331	0.875
1.3568816489361704	0.88
1.3556319421419096	0.885
1.3543888475529098	0.89
1.3524063633740107	0.895
1.3511770148026314	0.9
1.3499541195045937	0.905
1.3487376267997382	0.91
1.3475274865372064	0.915
1.3463236490885417	0.92
1.3451260653409092	0.925
1.3439346866904147	0.93
1.34274946503553	0.935
1.3415703527706182	0.9400000000000001
1.340397302779563	0.9450000000000001
1.3392302684294872	0.9500000000000001
1.338069203564578	0.9550000000000001
1.3369140625	0.96
1.3357648000159035	0.965
1.334621371351523	0.97
1.3334837321993671	0.975
1.3323518386994953	0.98
1.331225647433879	0.985
1.330105115420854	0.99
1.328990200109649	0.995
