alpha	beta
1.984375	0.0
1.9942968749999999	0.005
2.00421875	0.01
2.0151318359374994	0.015
2.0250585937500003	0.02
2.03448486328125	0.025
2.0444091796875	0.03
2.05433349609375	0.035
2.0642578125	0.04
2.0746923828124997	0.045
2.0846191406250005	0.05
2.0945458984375	0.055
2.10447265625	0.06
2.1143994140625	0.065
2.124326171875	0.07
2.1342529296874995	0.075
2.1447070312500003	0.08
2.1546362304687494	0.085
2.1645654296875003	0.09
2.17449462890625	0.095
2.1844238281250004	0.1
2.19435302734375	0.105
2.2042822265625004	0.11
2.21421142578125	0.115
2.2246875	0.12
2.234619140625	0.125
2.24455078125	0.13
2.2544824218749997	0.135
2.2644140625	0.14
2.2743457031250003	0.145
2.2842773437499995	0.15
2.294208984375	0.155
2.3041406249999996	0.16
2.3146411132812506	0.165
2.3245751953125	0.17
2.3345092773437504	0.17500000000000002
2.344443359375	0.18
2.3543774414062497	0.185
2.3643115234375003	0.19
2.37424560546875	0.195
2.3841796874999996	0.2
2.39411376953125	0.20500000000000002
2.4040478515624994	0.21
2.4145751953125005	0.215
2.42451171875	0.22
2.4344482421875004	0.225
2.4443847656249997	0.23
2.4543212890625004	0.23500000000000001
2.4642578125000005	0.24
2.4741943359375	0.245
2.484130859375	0.25
2.4940673828125	0.255
2.5040039062499995	0.26
2.5139404296875005	0.265
2.5238769531250003	0.27
2.5338134765624996	0.275
2.544375	0.28
2.5543139648437503	0.28500000000000003
2.5642529296875005	0.29
2.57419189453125	0.295
2.584130859375	0.3
2.5940698242187503	0.305
2.6040087890625	0.31
2.6062426757812496	0.315
2.6039062499999996	0.32
2.6021240234375	0.325
2.60025390625	0.33
2.5982958984374998	0.335
2.5969042968750005	0.34
2.5954296874999994	0.34500000000000003
2.5938720703125	0.35000000000000003
2.5928930664062504	0.355
2.5918359375	0.36
2.5907006835937505	0.365
2.5894873046874998	0.37
2.5888671875	0.375
2.588173828125	0.38
2.5874072265625	0.385
2.58724609375	0.39
2.5870166015625	0.395
2.5867187499999997	0.4
2.5863525390625	0.405
2.5866064453125004	0.41000000000000003
2.586796875	0.41500000000000004
2.5869238281249993	0.42
2.5869873046875	0.425
2.5869873046875	0.43
2.5876245117187495	0.435
2.5882031250000006	0.44
2.58872314453125	0.445
2.5891845703124994	0.45
2.5902978515625	0.455
2.5906445312499997	0.46
2.59164794921875	0.465
2.5925976562499997	0.47000000000000003
2.5942138671875	0.47500000000000003
2.59505859375	0.48
2.59657470703125	0.485
2.5973144531249996	0.49
2.59873046875	0.495
2.58544921875	0.5
2.5632031250000002	0.505
2.5414892578124997	0.51
2.5210546875000004	0.515
2.5011718750000003	0.52
2.4818481445312495	0.525
2.4638378906250002	0.53
2.44640625	0.535
2.4295605468750003	0.54
2.4125537109375	0.545
2.3968994140624997	0.55
2.381853027343751	0.555
2.367421875	0.56
2.35284912109375	0.5650000000000001
2.3389013671875	0.5700000000000001
2.3255859375	0.5750000000000001
2.31291015625	0.58
2.3008813476562504	0.585
2.28873046875	0.59
2.277236328125	0.595
2.265625	0.6
2.2546801757812496	0.605
2.2444091796875005	0.61
2.23403076171875	0.615
2.2243359375000002	0.62
2.21453857421875	0.625
2.2054345703125002	0.63
2.19623291015625	0.635
2.187734375	0.64
2.17914306640625	0.645
2.1712646484375	0.65
2.1471362304687496	0.655
2.1114746093750005	0.66
2.077998046875	0.665
2.0467285156250004	0.67
2.0176879882812497	0.675
1.9892578125000004	0.68
1.9630908203125	0.685
1.93755859375	0.6900000000000001
1.9134960937499998	0.6950000000000001
1.89091796875	0.7000000000000001
1.8690063476562502	0.705
1.8477685546875002	0.71
1.8280493164062497	0.715
1.8090234375000003	0.72
1.7906982421875002	0.725
1.7730810546875	0.73
1.7561791992187499	0.735
1.74	0.74
1.72455078125	0.745
1.708984375	0.75
1.6693066406250001	0.755
1.629375	0.76
1.5926367187500001	0.765
1.5582568359375	0.77
1.5271240234375	0.775
1.4975292968750002	0.78
1.47035888671875	0.785
1.44388671875	0.79
1.419873046875	0.795
1.39658203125	0.8
1.3749023437500003	0.805
1.35396484375	0.81
1.32491455078125	0.8150000000000001
1.280576171875	0.8200000000000001
1.2413208007812502	0.8250000000000001
1.2054052734375	0.8300000000000001
1.1728588867187502	0.835
1.1428124999999998	0.84
1.1152880859375	0.845
1.0903076171875001	0.85
1.0660815429687498	0.855
1.025361328125	0.86
0.9844067382812499	0.865
0.9477832031250001	0.87
0.91552734375	0.875
0.8867578125000001	0.88
0.8596630859375001	0.885
0.836103515625	0.89
0.81333251953125	0.895
0.793212890625	0.9
0.77390625	0.905
0.7563525390625	0.91
0.74056640625	0.915
0.7246874999999999	0.92
0.7105957031250001	0.925
0.6964208984375001	0.93
0.6840527343749999	0.935
0.671611328125	0.9400000000000001
0.6600463867187499	0.9450000000000001
0.649365234375	0.9500000000000001
0.6395751953125001	0.9550000000000001
0.6297265625000001	0.96
0.62077880859375	0.965
0.61177734375	0.97
0.6036865234375001	0.975
0.5955468749999999	0.98
0.5873583984375	0.985
0.5800927734375	0.99
0.580576171875	0.995
