alpha	beta
1.984375	0.0
1.9942968749999999	0.005
2.00421875	0.01
2.0151318359374994	0.015
2.0250585937500003	0.02
2.03448486328125	0.025
2.0444091796875	0.03
2.05433349609375	0.035
2.0642578125	0.04
2.0746923828124997	0.045
2.0846191406250005	0.05
2.0945458984375	0.055
2.10447265625	0.06
2.1143994140625	0.065
2.124326171875	0.07
2.1342529296874995	0.075
2.1447070312500003	0.08
2.1546362304687494	0.085
2.1645654296875003	0.09
2.17449462890625	0.095
2.1844238281250004	0.1
2.19435302734375	0.105
2.2042822265625004	0.11
2.21421142578125	0.115
2.2246875	0.12
2.234619140625	0.125
2.24455078125	0.13
2.2544824218749997	0.135
2.2644140625	0.14
2.2743457031250003	0.145
2.2842773437499995	0.15
2.294208984375	0.155
2.3041406249999996	0.16
2.3146411132812506	0.165
2.3245751953125	0.17
2.3345092773437504	0.17500000000000002
2.344443359375	0.18
2.3543774414062497	0.185
2.3643115234375003	0.19
2.37424560546875	0.195
2.3841796874999996	0.2
2.39411376953125	0.20500000000000002
2.4040478515624994	0.21
2.4145751953125005	0.215
2.42451171875	0.22
2.4344482421875004	0.225
2.4443847656249997	0.23
2.4543212890625004	0.23500000000000001
2.4642578125000005	0.24
2.4741943359375	0.245
2.484130859375	0.25
2.4940673828125	0.255
2.5040039062499995	0.26
2.5139404296875005	0.265
2.5238769531250003	0.27
2.5338134765624996	0.275
2.544375	0.28
2.5543139648437503	0.28500000000000003
2.5642529296875005	0.29
2.5634423828125	0.295
2.562548828125	0.3
2.56093505859375	0.305
2.5605126953125	0.31
2.5593701171875	0.315
2.5587890625	0.32
2.5581298828125005	0.325
2.5573925781250004	0.33
2.5565771484374995	0.335
2.5563378906250005	0.34
2.5560253906249994	0.34500000000000003
2.5556396484375004	0.35000000000000003
2.55584228515625	0.355
2.5553125	0.36
2.5553759765625	0.365
2.5553710937500007	0.37
2.55596923828125	0.375
2.5565039062499997	0.38
2.556298828125	0.385
2.5567041015625	0.39
2.55772705078125	0.395
2.5580078124999996	0.4
2.5589111328125	0.405
2.5597558593749996	0.41000000000000003
2.5605419921875	0.41500000000000004
2.56126953125	0.42
2.56263427734375	0.425
2.5632470703124994	0.43
2.5645019531249993	0.435
2.5657031250000006	0.44
2.5668505859375004	0.445
2.5679443359375	0.45
2.5696948242187503	0.455
2.57068359375	0.46
2.5523046875000004	0.465
2.53517578125	0.47000000000000003
2.51787109375	0.47500000000000003
2.5018359374999997	0.48
2.485634765625	0.485
2.4699951171874996	0.49
2.45492431640625	0.495
2.439697265625	0.5
2.42578369140625	0.505
2.4117236328125005	0.51
2.3982568359374996	0.515
2.3846484375	0.52
2.371643066406249	0.525
2.359248046875	0.53
2.3474707031250004	0.535
2.33556640625	0.54
2.32353515625	0.545
2.3121337890625	0.55
2.30136962890625	0.555
2.29048828125	0.56
2.2802539062500005	0.5650000000000001
2.2699072265625	0.5700000000000001
2.2602172851562505	0.5750000000000001
2.2511914062500002	0.58
2.2412890625	0.585
2.2320556640625	0.59
2.22349853515625	0.595
2.21484375	0.6
2.2068749999999997	0.605
2.1980273437499998	0.61
2.18671630859375	0.615
2.158681640625	0.62
2.1312255859375	0.625
2.1043554687499997	0.63
2.078876953125	0.635
2.0540039062499997	0.64
2.0297436523437504	0.645
2.0069091796875	0.65
1.9847070312500001	0.655
1.9631445312500002	0.66
1.9430419921874997	0.665
1.9227832031249998	0.67
1.9031860351562497	0.675
1.8842578125000005	0.68
1.8660058593750004	0.685
1.8484374999999997	0.6900000000000001
1.8315600585937497	0.6950000000000001
1.8153808593750003	0.7000000000000001
1.79907470703125	0.705
1.7834765625	0.71
1.76859375	0.715
1.7435156250000001	0.72
1.7098388671875	0.725
1.6776269531249999	0.73
1.64689453125	0.735
1.61765625	0.74
1.5899267578125	0.745
1.563720703125	0.75
1.5381958007812502	0.755
1.5133593750000003	0.76
1.49008056640625	0.765
1.467509765625	0.77
1.4465209960937497	0.775
1.425390625	0.78
1.40586181640625	0.785
1.3730908203125	0.79
1.3374853515625	0.795
1.3034179687500003	0.8
1.2717846679687503	0.805
1.2417236328124999	0.81
1.2141357421874996	0.8150000000000001
1.187265625	0.8200000000000001
1.16201171875	0.8250000000000001
1.138388671875	0.8300000000000001
1.1128271484374999	0.835
1.0754296874999998	0.84
1.0396142578125	0.845
1.0072021484375	0.85
0.97731689453125	0.855
0.9490722656249999	0.86
0.9224829101562501	0.865
0.8975634765625	0.87
0.87432861328125	0.875
0.85279296875	0.88
0.83205078125	0.885
0.8130322265625001	0.89
0.7948266601562501	0.895
0.778369140625	0.9
0.76181396484375	0.905
0.74609375	0.91
0.7321508789062501	0.915
0.7181249999999999	0.92
0.7049560546875	0.925
0.6926513671875001	0.93
0.6802734374999999	0.935
0.669716796875	0.9400000000000001
0.6581469726562499	0.9450000000000001
0.6484130859375	0.9500000000000001
0.63862060546875	0.9550000000000001
0.6287695312500001	0.96
0.6198193359374999	0.965
0.61177734375	0.97
0.6036865234375001	0.975
0.5955468749999999	0.98
0.5873583984375	0.985
0.5800927734375	0.99
0.580576171875	0.995
