alpha	beta
1.984375	0.0
1.9942968749999999	0.005
2.00421875	0.01
2.0151318359374994	0.015
2.0250585937500003	0.02
2.03448486328125	0.025
2.0444091796875	0.03
2.05433349609375	0.035
2.0642578125	0.04
2.0746923828124997	0.045
2.0846191406250005	0.05
2.0945458984375	0.055
2.10447265625	0.06
2.1143994140625	0.065
2.124326171875	0.07
2.1342529296874995	0.075
2.1447070312500003	0.08
2.1546362304687494	0.085
2.1645654296875003	0.09
2.17449462890625	0.095
2.1844238281250004	0.1
2.19435302734375	0.105
2.2042822265625004	0.11
2.21421142578125	0.115
2.2246875	0.12
2.234619140625	0.125
2.24455078125	0.13
2.2544824218749997	0.135
2.2644140625	0.14
2.2743457031250003	0.145
2.2842773437499995	0.15
2.294208984375	0.155
2.3041406249999996	0.16
2.3146411132812506	0.165
2.3245751953125	0.17
2.3345092773437504	0.17500000000000002
2.344443359375	0.18
2.3543774414062497	0.185
2.3643115234375003	0.19
2.37424560546875	0.195
2.3841796874999996	0.2
2.39411376953125	0.20500000000000002
2.4040478515624994	0.21
2.4145751953125005	0.215
2.42451171875	0.22
2.4344482421875004	0.225
2.4443847656249997	0.23
2.4543212890625004	0.23500000000000001
2.4642578125000005	0.24
2.4741943359375	0.245
2.484130859375	0.25
2.4940673828125	0.255
2.5040039062499995	0.26
2.5139404296875005	0.265
2.5238769531250003	0.27
2.5338134765624996	0.275
2.544375	0.28
2.5543139648437503	0.28500000000000003
2.55984375	0.29
2.55901611328125	0.295
2.5574707031250004	0.3
2.556474609375	0.305
2.55603515625	0.31
2.55487548828125	0.315
2.55427734375	0.32
2.5536010742187503	0.325
2.5534960937500006	0.33
2.5526660156250003	0.335
2.552412109375	0.34
2.552084960937499	0.34500000000000003
2.55234375	0.35000000000000003
2.5518725585937494	0.355
2.5519921875	0.36
2.5520434570312505	0.365
2.5526953125000005	0.37
2.5526123046875	0.375
2.5531347656249994	0.38
2.55359375	0.385
2.5539892578125	0.39
2.55500244140625	0.395
2.5552734375	0.4
2.5561669921875003	0.405
2.557001953125	0.41000000000000003
2.5577783203125	0.41500000000000004
2.5591894531249997	0.42
2.55985107421875	0.425
2.56115234375	0.43
2.562399902343749	0.435
2.5635937500000003	0.44
2.5647338867187504	0.445
2.5658203124999996	0.45
2.5675634765625004	0.455
2.5535742187499997	0.46
2.5365673828125006	0.465
2.5201025390624996	0.47000000000000003
2.503466796875	0.47500000000000003
2.4881054687499997	0.48
2.4725830078124997	0.485
2.4576269531249997	0.49
2.4425146484375	0.495
2.4287109375	0.5
2.4147607421875	0.505
2.4014013671875	0.51
2.387900390625	0.515
2.375	0.52
2.3627075195312495	0.525
2.3510302734375	0.53
2.3392260742187503	0.535
2.327294921875	0.54
2.3159912109375	0.545
2.3053222656249996	0.55
2.2945361328125005	0.555
2.2843945312500002	0.56
2.2741406250000002	0.5650000000000001
2.264541015625	0.5700000000000001
2.2548339843750007	0.5750000000000001
2.2457910156250005	0.58
2.2366455078125	0.585
2.2273974609374996	0.59
2.2188256835937503	0.595
2.2101562500000007	0.6
2.2021728515625	0.605
2.1940966796875	0.61
2.1662133789062494	0.615
2.1396972656249997	0.62
2.11297607421875	0.625
2.0876416015624994	0.63
2.06370849609375	0.635
2.03958984375	0.64
2.0168920898437497	0.645
1.99482421875	0.65
1.9733935546874999	0.655
1.9526074218750002	0.66
1.93247314453125	0.665
1.9129980468749999	0.67
1.894189453125	0.675
1.8760546875000004	0.68
1.8586010742187502	0.685
1.8418359374999997	0.6900000000000001
1.8249389648437497	0.6950000000000001
1.808740234375	0.7000000000000001
1.7932470703124999	0.705
1.778466796875	0.71
1.758544921875	0.715
1.7250390624999998	0.72
1.6929931640625	0.725
1.6632666015625	0.73
1.63333984375	0.735
1.60576171875	0.74
1.5788500976562503	0.745
1.553466796875	0.75
1.52876953125	0.755
1.5056250000000002	0.76
1.48232421875	0.765
1.460595703125	0.77
1.4404541015624996	0.775
1.42017578125	0.78
1.39453125	0.785
1.358232421875	0.79
1.32433837890625	0.795
1.2919921875000002	0.8
1.2620898437500003	0.805
1.2328857421875001	0.81
1.2061596679687498	0.8150000000000001
1.18015625	0.8200000000000001
1.1557739257812498	0.8250000000000001
1.13302734375	0.8300000000000001
1.100283203125	0.835
1.0646484374999998	0.84
1.0306054687500001	0.845
0.9999755859375001	0.85
0.9709765625	0.855
0.943623046875	0.86
0.9179296875	0.865
0.8939111328125	0.87
0.87158203125	0.875
0.8500390624999999	0.88
0.8302099609375	0.885
0.8111865234375	0.89
0.7939013671875002	0.895
0.7765136718749999	0.9
0.7608837890625	0.905
0.7451611328125001	0.91
0.7312158203125001	0.915
0.7171874999999999	0.92
0.70401611328125	0.925
0.6917089843750002	0.93
0.6802734374999999	0.935
0.6687695312499999	0.9400000000000001
0.6581469726562499	0.9450000000000001
0.6484130859375	0.9500000000000001
0.63862060546875	0.9550000000000001
0.6287695312500001	0.96
0.6198193359374999	0.965
0.61177734375	0.97
0.6036865234375001	0.975
0.5955468749999999	0.98
0.5873583984375	0.985
0.5800927734375	0.99
0.580576171875	0.995
