alpha	beta
2.0606874906556643	0.0
2.0620691697983897	0.005
2.0632853761185754	0.01
2.0650507542960588	0.015
2.0680593803935556	0.02
2.0726078694458834	0.025
2.078479346381588	0.03
2.0851863718494066	0.035
2.0922813463174013	0.04
2.0995150485485947	0.045
2.1068631519577594	0.05
2.114475935043732	0.055
2.122564181009653	0.06
2.1312561111970285	0.065
2.140514038894691	0.07
2.150172466827205	0.075
2.1600467741783493	0.08
2.1700101533509772	0.085
2.1800017805837753	0.09
2.1900004158161432	0.095
2.2000008129600395	0.1
2.2100027746018536	0.105
2.2200077876069537	0.11
2.230017485107345	0.115
2.240031284981872	0.12
2.2500439784626147	0.125
2.260046867223206	0.13
2.2700349756060305	0.135
2.2800150156589454	0.14
2.290001531127205	0.145
2.29999995605396	0.15
2.3099988560955285	0.155
2.319986111573681	0.16
2.3299661276370607	0.165
2.3399534305362093	0.17
2.3499554843573938	0.17500000000000002
2.359967844473256	0.18
2.3699817804540713	0.185
2.379991804172568	0.19
2.389997203742955	0.195
2.3999999113852395	0.2
2.410002513863774	0.20500000000000002
2.4200076095312237	0.21
2.430017237357862	0.215
2.440030993394959	0.22
2.450043791170281	0.225
2.4600469537460365	0.23
2.4700353363601733	0.23500000000000001
2.4800153974366124	0.24
2.4900016710985904	0.245
2.49999992700041	0.25
2.5099989744046427	0.255
2.519986480896057	0.26
2.529966501996775	0.265
2.5399535424796857	0.27
2.5499553131002757	0.275
2.5599675468017993	0.28
2.569981441008438	0.28500000000000003
2.5799908751230896	0.29
2.589991732246031	0.295
2.5999697953567575	0.3
2.609867216949523	0.305
2.6195128389351092	0.31
2.6285309698888546	0.315
2.6363176185320585	0.32
2.6422050059139135	0.325
2.6457941653968087	0.33
2.647207553419753	0.335
2.647020146677187	0.34
2.6459361444229565	0.34500000000000003
2.6445007343686937	0.35000000000000003
2.643016930985807	0.355
2.641609908065472	0.36
2.640316372812602	0.365
2.6391410305960354	0.37
2.6380799330803892	0.375
2.6371244190841305	0.38
2.636255009231867	0.385
2.635431522422471	0.39
2.634587494685984	0.395
2.633636876697509	0.4
2.6324925543009443	0.405
2.631085520293399	0.41000000000000003
2.6293729111735615	0.41500000000000004
2.627333581435831	0.42
2.624958947418797	0.425
2.6222459537100415	0.43
2.6191929587919986	0.435
2.6157969530302307	0.44
2.6120536534279726	0.445
2.607962276871651	0.45
2.603528892360613	0.455
2.598760841018165	0.46
2.593658555306252	0.465
2.588216279829901	0.47000000000000003
2.582429127651473	0.47500000000000003
2.576296495801157	0.48
2.5698201020327667	0.485
2.56300113572026	0.49
2.555839181900008	0.495
2.5483329196660947	0.5
2.5404817410540668	0.505
2.532286941988323	0.51
2.5237514112581514	0.515
2.5148783864330775	0.52
2.5056708760042308	0.525
2.4961315102823187	0.53
2.4862598707469634	0.535
2.4760475795243626	0.54
2.465480595714277	0.545
2.45455396043644	0.55
2.4432808401051314	0.555
2.431677559967448	0.56
2.4197436780589006	0.5650000000000001
2.407465022523772	0.5700000000000001
2.394830361480292	0.5750000000000001
2.3818379953202484	0.58
2.3684913379824457	0.585
2.354794684272571	0.59
2.340752019979677	0.595
2.3263659857646224	0.6
2.311636603099342	0.605
2.2965614372913494	0.61
2.2811376754137735	0.615
2.265364971072574	0.62
2.249247448178688	0.625
2.2327926753651584	0.63
2.2160043954799273	0.635
2.198871880131558	0.64
2.181372711246354	0.645
2.163497537643464	0.65
2.145266191635806	0.655
2.1267043043984213	0.66
2.1078112086104093	0.665
2.088564885396253	0.67
2.0689487918967604	0.675
2.0489616324399234	0.68
2.0286085933319824	0.685
2.007893513841989	0.6900000000000001
1.9868183594881605	0.6950000000000001
1.965384814894735	0.7000000000000001
1.9435942323609523	0.705
1.9214466336094005	0.71
1.8989409981725074	0.715
1.8760777543460787	0.72
1.8528620960913484	0.725
1.8293039135097788	0.73
1.8054081992593365	0.735
1.7811595543137697	0.74
1.7565253660684548	0.745
1.7314910251976356	0.75
1.706084275091737	0.755
1.6803430940748203	0.76
1.6542686358426326	0.765
1.6278298809665936	0.77
1.6010018577813219	0.775
1.5737816684575314	0.78
1.5461771728219722	0.785
1.5181950952743029	0.79
1.4898387983186858	0.795
1.4611094838377188	0.8
1.4320066778162601	0.805
1.4025293526881641	0.81
1.3726781855689636	0.8150000000000001
1.3424573751461648	0.8200000000000001
1.3118759289930029	0.8250000000000001
1.2809467239326462	0.8300000000000001
1.2496753579618933	0.835
1.218040795333534	0.84
1.1859992001321331	0.845
1.1535299524507083	0.85
1.1206683400198771	0.855
1.087463951003733	0.86
1.0539184854080352	0.865
1.0199916479512554	0.87
0.9856518509949543	0.875
0.9508972814584218	0.88
0.9157400046663283	0.885
0.880189080747765	0.89
0.8442475032685454	0.895
0.807915542279221	0.9
0.7711932532608761	0.905
0.7340811315325458	0.91
0.6965805565087223	0.915
0.6586955242467961	0.92
0.6204356800030087	0.925
0.5818157715217083	0.93
0.5428414200741696	0.935
0.5034857537801782	0.9400000000000001
0.4636954184826855	0.9450000000000001
0.42344758437408336	0.9500000000000001
0.3827899563901917	0.9550000000000001
0.34179213216618987	0.96
0.30048902940052147	0.965
0.2589744544675259	0.97
0.2176932206227785	0.975
0.17779458685860697	0.98
0.1411486851017978	0.985
0.10966471305366902	0.99
0.08434718775834524	0.995
