alpha	beta
1.9995653950229275	0.0
1.998835308056187	0.005
1.9970775608171634	0.01
1.9934290323146382	0.015
1.98720904808543	0.02
1.978540958165409	0.025
1.9683026508126706	0.03
1.9575697775744936	0.035
1.9471513250492243	0.04
1.9373510665843006	0.045
1.9280116375542262	0.05
1.9188229277881168	0.055
1.909638138234783	0.06
1.900540491857735	0.065
1.8916930629976114	0.07
1.8831882912996245	0.075
1.875019787139282	0.08
1.8671358626716787	0.085
1.8594851165608222	0.09
1.8520197387473951	0.095
1.8446868311575546	0.1
1.837443774693646	0.105
1.8302856604128974	0.11
1.8232475963742096	0.115
1.8163780538703875	0.12
1.8097099422851683	0.125
1.8032426240813968	0.13
1.7969390526784834	0.135
1.7907585678909503	0.14
1.7847176076757352	0.145
1.7788830983329216	0.15
1.7732363637200528	0.155
1.767572085093268	0.16
1.76164953192862	0.165
1.7554587057997273	0.17
1.749242811811263	0.17500000000000002
1.743249864792521	0.18
1.7375358590096002	0.185
1.7320066117352926	0.19
1.7265736899953117	0.195
1.7212334889479606	0.2
1.7160189780885828	0.20500000000000002
1.7109148766045736	0.21
1.705850531071759	0.215
1.7007725607722142	0.22
1.695699673433341	0.225
1.6907055148563528	0.23
1.6858651444972548	0.23500000000000001
1.681210203805276	0.24
1.6767070266124307	0.245
1.672269225943384	0.25
1.6678141672993168	0.255
1.6633257464768647	0.26
1.6588553934512658	0.265
1.6544598646941464	0.27
1.6501530177077048	0.275
1.6459174060595625	0.28
1.6417438665233406	0.28500000000000003
1.637650300951473	0.29
1.633663303908828	0.295
1.629783276480995	0.3
1.6259685060399258	0.305
1.622154752101284	0.31
1.6182983173340215	0.315
1.6144098294326397	0.32
1.6105441684706048	0.325
1.606752392736404	0.33
1.6030470597447823	0.335
1.599411798576362	0.34
1.5958305812098414	0.34500000000000003
1.5923015091958734	0.35000000000000003
1.5888293499102981	0.355
1.5854124039684807	0.36
1.582039118946369	0.365
1.578695542708766	0.37
1.5753722268089059	0.375
1.5720642220450562	0.38
1.5687695401492938	0.385
1.5654912449611353	0.39
1.5622420407516397	0.395
1.5590447458028287	0.4
1.555920144058766	0.405
1.5528682933839733	0.41000000000000003
1.5498654156248086	0.41500000000000004
1.5468825881890262	0.42
1.5439051971979618	0.425
1.5409364427295746	0.43
1.5379908357202425	0.435
1.5350861942465872	0.44
1.5322313417094946	0.445
1.5294135105333806	0.45
1.5266054704486063	0.455
1.523794690687498	0.46
1.520998391292316	0.465
1.5182394544459368	0.47000000000000003
1.5155134991733643	0.47500000000000003
1.5127895975643497	0.48
1.5100425447700703	0.485
1.5072809219282797	0.49
1.5045401620974086	0.495
1.5018432315723957	0.5
1.49917146824597	0.505
1.4964817056785076	0.51
1.4937514276060533	0.515
1.4910063732676153	0.52
1.4883078446350047	0.525
1.4857117827987076	0.53
1.48323491673589	0.535
1.4808552338198016	0.54
1.478537257551496	0.545
1.4762540494628242	0.55
1.47399326169794	0.555
1.4717526319228704	0.56
1.4695336701426	0.5650000000000001
1.4673379745831796	0.5700000000000001
1.465166184338245	0.5750000000000001
1.4630178634869846	0.58
1.4608911133398341	0.585
1.4587822394342664	0.59
1.456687070222462	0.595
1.4546044842592247	0.6
1.4525383723408465	0.605
1.4504937472981343	0.61
1.44847125423836	0.615
1.4464683092061983	0.62
1.444483997097493	0.625
1.4425190361770772	0.63
1.440572402357251	0.635
1.4386413795503001	0.64
1.436724182761617	0.645
1.4348207386586471	0.65
1.4329318781824434	0.655
1.4310595500617131	0.66
1.4292070872329687	0.665
1.4273769624506403	0.67
1.4255676137814048	0.675
1.4237736533907055	0.68
1.4219897114963571	0.685
1.4202139562936509	0.6900000000000001
1.4184484235766728	0.6950000000000001
1.4166966428572454	0.7000000000000001
1.4149609911154375	0.705
1.4132421706366856	0.71
1.4115403961792379	0.715
1.4098553427079155	0.72
1.4081846529462292	0.725
1.4065248593327886	0.73
1.4048747238843653	0.735
1.4032362830030862	0.74
1.4016128343313985	0.745
1.4000069318824517	0.75
1.3984190554659044	0.755
1.3968466431161892	0.76
1.3952850006647592	0.765
1.393731008982331	0.77
1.3921864155743064	0.775
1.3906561404184812	0.78
1.389142814311453	0.785
1.387644119005473	0.79
1.3861555602424083	0.795
1.3846745989186249	0.8
1.383201748631258	0.805
1.3817383622374686	0.81
1.3802840152649447	0.8150000000000001
1.3788367907251655	0.8200000000000001
1.3773961629150149	0.8250000000000001
1.3759641968413112	0.8300000000000001
1.3745433713998936	0.835
1.3731352650369681	0.84
1.371741921662781	0.845
1.3703655947874822	0.85
1.3690058458030283	0.855
1.3676587649610092	0.86
1.3663198980486735	0.865
1.364987398125528	0.87
1.3636625313836088	0.875
1.3623476198804667	0.88
1.361043368811767	0.885
1.3597480433590152	0.89
1.358459189954978	0.895
1.357176035894257	0.9
1.3559002670888587	0.905
1.354634584383814	0.91
1.3533804660884967	0.915
1.3521373707463804	0.92
1.3509037691588128	0.925
1.349678266326213	0.93
1.3484600147685541	0.935
1.3472491208976856	0.9400000000000001
1.3460466852597917	0.9450000000000001
1.3448537597583539	0.9500000000000001
1.343670101097774	0.9550000000000001
1.3424941779505524	0.96
1.3413248590822135	0.965
1.340163318987939	0.97
1.3390143543424227	0.975
1.337891038568864	0.98
1.3368249207501943	0.985
1.3358692556245015	0.99
1.3350786976001159	0.995
